Comment,Sentiment
It was 3 years ago,neutral
Overall it&#39;s a perfect masterpiece<br>I was expecting they bring back Harry osborn :),positive
I managed to get a tenth of the way through this film. What a load of boring crap!,negative
"I still remember when this trailer was released 3 years ago, people in the comment section were all making their theory to prove that Andrew Garfield and Tobey Maguire are also in the movie !😂Damn it&#39;s already 3 years",neutral
Who’s here for brand new day?,positive
Almost been 3 years,neutral
"3 years ago I was in an online class and this droped,the next second itself I clicked this😂",neutral
Remember when we still gave a shit about Marvel,negative
Tobey ❤. Man seeing Tobey brings so much tears in my eyes.,positive
This might be Marvels greatest film and ANY franchise film for that matter. The way all the spiderman movies was unintentionally tied into eachother via the multiverse resurrecting all the old villains and spidermen was insane . Hats off to the writers who conjured this up .,positive
I am gonna leave this comment for my kids,neutral
Who is here after the movie,neutral
"Such an overrated movie, relies too much on nostalgia",positive
Still gives me chills,neutral
3 years ago already?😢,neutral
Imagine if it was Bully maguire version of Tobey&#39;s(black suit) that was dragged into the verse.<br><br> It would have been diabolical!,neutral
3 years no Spider-man movie 🥹,neutral
Take me back 😢😢,neutral
Hey…,neutral
"After 3 years, the trailer still creates the same feeling in me",neutral
Who got this recommended?,neutral
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=141"">2:21</a> This was always remain the best shot in the entire trailer cause it proved it all...we were right about them being in this",positive
I remember the hype in the tobey and andrew scene in the cinema,neutral
"heriones from other universes know that peter is Spiderman, Why didn&#39;t they come back 😢",negative
Hard to believe it’s been three years since the Lizard was punched by nothing.,negative
3 years have passed and it feels like it was yesterday...,neutral
Time flies man.,neutral
Its been 3 years time flies wheres spider man 4,neutral
i refuse to believe this was three years ago time is going too fast 😭,positive
Remember when this trailer broke the internet?,neutral
I wanna time travel and see this movie in December again in theaters again and it became the best Spider-Man movie I ever saw in cinema history.,positive
hollllyyyyy CRAP this is gonna be SO GOOD (im a frickin nerd),negative
3 years of no way home ❤,neutral
"3 year anniversary of this trailer, damn time sure does fly when your life is falling apart",positive
Spider-Man 3: Turning Point for a Better Marvel Cinematic Universe Reboot would show Norman Osborn/Green Goblin as the main villain looking 100% like the comics/1994 Animated Series just like Gwen Stacy would die. Also at the end of the movie Norman Osborn ends up in a Coma and Harry vows to get revenge on Spider-Man.,positive
No way it&#39;s been 3 years already,neutral
3 years since this brilliant trailer,positive
3 years have gone by and yet this feels like yesterday! 😢❤,neutral
3 years,neutral
Someone needs to stop time <br>Man,neutral
Wow 3 years ago today this trailer was released.,positive
Happy 3th years Trailer!,positive
3 Years,neutral
3 Years.....<br>I woke up at 3 AM just to watch this trailer 😭,neutral
This was the last marvel movie with real hype,positive
WHO COOKED WITH THIS SOUNDTRACK,neutral
This movie created more hype than Endgame,positive
"I haven&#39;t seen the movie and it&#39;s been two years since it was released, although I can tell the glove that catches mj is different from tom&#39;s so that is obviously andrew or toby and also the lizard got kicked in the face from nothing so they obviously tried removing them, and I peiced it together andrew cathes mj and kicks lizard, this took a whole day to figure out by comparing them and lightening the frame, and andrew is the only one that can move his back like that cus he isn&#39;t as old as toby, but nice try sony!",positive
Venom 4:New Reborn movie is officially releasing soon in 2026.,neutral
All the Sony super hero movies are crucial for super heroes lovers,positive
"Damn, got recommended after almost 3 yrs. I miss the hype",neutral
Whos here after homecuming,neutral
Wait. Green Goblin and dock ock from Raimi verse is here?? I wish Tobey and Andrew will follow :(,negative
"Christmas is coming next month, so I figured I’d buy this movie on Vudu as my Christmas present",neutral
When Will This Materpiece Add On Disney+,neutral
"how man, i miss you…",neutral
This movie was so good honestly because of the cameos and the old villains coming back,positive
It&#39;s almost 3 years ago..,neutral
"It would have been a masterpiece if they added bully maguire, venom or Rhino",neutral
Venom The Last Dance Is Out Now!,neutral
Marvel should have all rights to spider-man,neutral
Hype of Endgame ✅<br>Hype of No Way Home ✅ 🔥,neutral
This was such a good movie,positive
bro marvel managed to hide the other spiderman,negative
"Did anyone else forget Tobey and Andrew were NOT in the trailer while watching this, and then thought where are they?😂😂",neutral
Electro: You’re not gonna take this away from me<br><br>Electro was so much more awesome in this movie then he was in TAS2,positive
This was such a great movie,positive
I kinda wish Andrew Garfield refused this movie just to get back at them for doing him dirty with the Spider-Man franchise. They must’ve offered him a lot of money,negative
"Just saw the TASM 2 Trailer Casually and realised NWH trailer and TASM 2 Trailer is so Similar, the theme the Bgm it&#39;s almost the same 🫡",negative
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=137"">2:17</a> They hide smartly",positive
shes so fast,positive
Biggest regret of not watching in theatres coz of COVID 😢,neutral
Only good marvel movie after endgame and we all know why😅,positive
they hid the three spidermen well,neutral
God I miss this era 😊❤,neutral
"Can’t wait for, <br>Spiderman: Forgotten Home!",neutral
"Doctor Strange: We started getting some visitors... from every universe.🦸🏻‍♂️🦹🏻‍♂️<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=35"">0:35</a>",negative
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=100"">1:40</a> but thats bullshite, they dont all die fighting Spiderman. Sandman walks off into the sunset, Dr Connors ends up in prison. All the rest die, but not all.",neutral
"Search up &quot;3 Dev Adam&quot;, would have been wild if they had incorporated that into this spider-verse as well😂",positive
Anyone here after Tony is casted after Dr doom😅,neutral
"you just had to be there, from the trailer release to the movie itself... you just had to be there, 3 generation of spider man, didyouknowhowlongwevewaitedforthis?",neutral
Did this not come out in 2021,neutral
I believe Peter Parker brought Tony Stark as Evil Doom in the spark dimension in No way home and in the Next coming New Movie of spiderman will gives us spoiler for THE DOOM the movie.,negative
My god the acting so cringe  tf,neutral
"Peter : Stephen, I need your help.<br>Dr. : you want me to cast a spell, so that everyone forget you are spidey .<br>Peter : Nope ,  cast a spell so that everyone forget what mysterio said.<br>Dr : Shit ....,   This boy is a genius.",negative
It’s been 2 years 😢,neutral
the beast on the way to rome itay,neutral
"I just saw this movie for the first time and just because toby and andrew along with their villians see in it i loved it , although i thot the plot was awful and they should have made it more realistic and toby darker because toby doent play around , he will end you.",positive
"Rewatching this, let’s be honest. We all thought Tom was gonna have a 1v3 moment",positive
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=152"">2:32</a> history will remake 💔 please not this time we can’t loose her 😭",negative
Nobody is going to forget,neutral
mauybe in spidemran 4 phi(maybe mephisto apart of sepeant soocity liek marvel mcu doing i caught online an diwth iron wars to maybe (mayeb skrulls with mephisto and do slavery wit hsoul gem and oding human trafficing with sex involbvenmt with mature thems this is action story and with but mayeb mayeb eddi edidie a reporter before pteer an dpter a free lanc eliek spidemran movies before he got job and with gewn an dfrinds with m.j an d like naimated spiderman series and black cat in this and eddie dont have symbiot? im not sure depining on venom last dance mayeb eddie dont hav e symbiot if he do then he side job with thunde rbolts then,positive
Who is here after venom 3🔥,neutral
Tom Holland spiderman was the most stupid and brainless spiderman,negative
I cant believe it has been 2 years. Still feel the fresh vibes as 2 years ago. how quickly time flies but memories remain fresh,positive
"I&#39;m so upset they got cured. Spiderman NEEDS Doc Oc, he NEEDS Green Goblin. Now, if they were to ever appear again, Peter will be just too aware of these people and their intentions. I wish it was a slow burn. I wish Doc Oc or Norman was in the first film as a good guy, maybe a different actor. Just so we could see how Peter reacts to these people he grew up with might change if he ISN&#39;T Spider-Man.",positive
"Holy yeah, I still cannot believe ts film is real😭",neutral
"Here after Deadpool &amp; Wolverine, the best Marvel movie since this one.",positive
Who&#39;s here after shang chi director going to direct spider man 4,positive
its been 2 years,neutral
Time passed fast for this one.,positive
shout out to the Lizard for being a giveaway that the other Spider-Men were gonna be in the movie,negative
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=61"">1:01</a> How are we supposed to take your villain seriously if your <i>own film</i> doesn&#39;t?",negative
Now Trailer 2<br>Sonic Movie 3 <br>November,neutral
"Making Miles Morales Spider-Man film in the Multiverse Saga Miles Morales&#39;s Spider-Man film in Tobey Maguire Spider-Man Universe in which Death of Tobey Spider-Man,Miles Morales Spider-Man Release After Avengers:Secret Wars &amp; Death of Tobey &amp; Andrew as mentor",neutral
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=139"">2:19</a> the other two Peter Parker&#39;s are edited out like the theory about sonic movie 3 trailer that there is Amy edited out of it.",negative
"&quot;Everybody forgot who &quot;Peter Parker&quot; was.<br>&quot;Hey, we have computers and they don&#39;t forget anything&quot;.  LOL   🤣🤣🤣🤣🤣",positive
What the heck the thumbnail for this was a Spider-Man with the venom symbiotie?????,neutral
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=87"">1:27</a> Amazing swinging",positive
How old is peter in this?,positive
Why TVA not hear,neutral
Anyone here in September of 2024?,neutral
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=150"">2:30</a> goss bumps her falling 😢",neutral
THEE SpiderMan movie,neutral
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=123"">2:03</a> Green Goblin",negative
filme spider-man 3 no way home😀,neutral
"Sometimes I agree with martin scorsese with these films being themepark films 😂😅<br>We need to get over it ASAP and make original films, beat it 💯",positive
I miss the era 🥺,neutral
The hype this movie had though,neutral
"Everytime a movie makes me both laugh and shed tears, it is considered a great one for me! This one did. I really like the part where the 3 spiderman characters are united and the subsequent parts, especially when they go find Peter who is mourning on top of tower and when they are in the lab together. The ending, starting let say with the part where Dr Strange tells Peter people will forget him to the moment Zendaya says to peter  &#39;&#39;I love you&#39;&#39; only with her lips from a distance touches me deeply every time I watch...This is my best movie from the Spiderman movie serie....Very entertaining!",positive
Scooby Do (Escúchame),neutral
Lee Larry Martin Elizabeth White Cynthia,neutral
Who&#39;s here because they just wanted to watch this trailer without being annoyed by comments like this?,negative
This was when the endgame hype came back,neutral
"(<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=134"">2:14</a> - <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=141"">2:21</a>) 2 Years Man and I was in middle school when this happen bro like, I miss the biggest hype ever like these 2 parts made me hype as hell because it was such a good time to see the old villains of Spider-Man coming back especially sandman. Like literally after watching Deadpool &amp; Wolverine this was the best thing ever.",positive
I miss this movie hype,neutral
what happened to the new goblin/goblin jr? he kind of just didn’t exist in this movie. or maybe it was because the green goblin was already the biggest threat?,positive
