Comment,Is_Negative
3 years since<br>Green Goblin and the gang came<br>3 Spider men teamed up<br>Dr Strange casts the spell to forget Peter Parker was Spiderman <br>Aunt May dies<br>Tobey&#39;s Spider Man gets stabbed by Green Goblin&#39;s glider,True
I managed to get a tenth of the way through this film. What a load of boring crap!,True
Remember when we still gave a shit about Marvel,True
"heriones from other universes know that peter is Spiderman, Why didn&#39;t they come back 😢",True
Hard to believe it’s been three years since the Lizard was punched by nothing.,True
hollllyyyyy CRAP this is gonna be SO GOOD (im a frickin nerd),True
Wait. Green Goblin and dock ock from Raimi verse is here?? I wish Tobey and Andrew will follow :(,True
bro marvel managed to hide the other spiderman,True
I kinda wish Andrew Garfield refused this movie just to get back at them for doing him dirty with the Spider-Man franchise. They must’ve offered him a lot of money,True
"Just saw the TASM 2 Trailer Casually and realised NWH trailer and TASM 2 Trailer is so Similar, the theme the Bgm it&#39;s almost the same 🫡",True
"Doctor Strange: We started getting some visitors... from every universe.🦸🏻‍♂️🦹🏻‍♂️<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=35"">0:35</a>",True
I believe Peter Parker brought Tony Stark as Evil Doom in the spark dimension in No way home and in the Next coming New Movie of spiderman will gives us spoiler for THE DOOM the movie.,True
"Peter : Stephen, I need your help.<br>Dr. : you want me to cast a spell, so that everyone forget you are spidey .<br>Peter : Nope ,  cast a spell so that everyone forget what mysterio said.<br>Dr : Shit ....,   This boy is a genius.",True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=152"">2:32</a> history will remake 💔 please not this time we can’t loose her 😭",True
Tom Holland spiderman was the most stupid and brainless spiderman,True
shout out to the Lizard for being a giveaway that the other Spider-Men were gonna be in the movie,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=61"">1:01</a> How are we supposed to take your villain seriously if your <i>own film</i> doesn&#39;t?",True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=139"">2:19</a> the other two Peter Parker&#39;s are edited out like the theory about sonic movie 3 trailer that there is Amy edited out of it.",True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=123"">2:03</a> Green Goblin",True
Who&#39;s here because they just wanted to watch this trailer without being annoyed by comments like this?,True
&#39;Strong enough to have it all.. to weak to take!&quot;,True
You had to be there…the hype with the three spider-man’s possibility was crazy. I miss those days.,True
Hype of this film was insane,True
This is the crazy movie of marvel❤,True
"BRO I WAS SCROLLING DOWN AND THIS HAPPENED TO GET RECOMMENDED,  MAKING ME THINK THAT IT WAS A NEW SPIDERMAN",True
I hate Zendaya,True
The casting director confused Flash Thompson as Gru. Hence the choice of actor.,True
Wish this would come to Disney + like the other Spider-Man&#39;s. I wanna see this movie.,True
Hey guys wait wait I just realise in trollhunters the rise of Titans Toby dies and Jim reverse the time the same happens in Spider-Man no way home Doctor Strange reverse the time😮😮😮😮😮😮😮😮😮😮😮😮😮😮,True
i thought his black and gold suit was the symbiote 😭,True
"The Hype For Spider Man No Way Home Was Insane, No Movie Will Compare To This One.",True
Is it me or did when i watch the trailer you all think the black suit was the symbiote suit,True
Can somebody explain me if all the people who knew Peter Parker is spider man got alive in other multiverse and they saved those persons why Gwen didn’t spawn there she also knew that peter is spider man,True
The rumours of this movie thwt Tobey and Andrew are gonna be in this we’re insane <br>I wish I could go back,True
I was so afraid that i would get a spoiler. I didn&#39;t even watch this trailer. This is the first time i am watching it.,True
I was so fucking hype 2 years ago man<br>Time flies,True
I can’t believe it’s been 2 and a half year since this movie released feels like yesterday,True
Will Doctor Strange appear in the movie??? 😱,True
At least give us 10 min footage each of Toby&#39;s Spiderman Universe and Andrew&#39;s Spiderman Universe as to what happened in the aftermath of No way home in their universe <br>How they are living and give Andrew his MJ,True
"Very BAD,the worst spiderman movie ever made.shame on the expense...",True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=127"">2:07</a> Before the movie came out, I used to think Spider-Man was falling into the multiverse and Doctor Strange tried to &quot;save&quot; him.",True
Ah yes.. youth.. never satisfied,True
omg he waited so long for this one,True
Silly fool spiderman,True
The hype for this movie was genuinely so crazy,True
Crazy this trailer really spoiled almost everything,True
sony really makes the worst trailers,True
i cant want for avengers secret wars...,True
The hype of this film was insane,True
Ah man! I got some serious nostalgia while watching this trailer again🎉,True
"Ya’ll remember when Andrews kick against the Lizard was leaked in the Brazilian version, and everyone was going crazy over the fact that we were getting all of Spider-men🥹🤧",True
"Hi, I&#39;m spanish speaker. Somebody can tell me because Strange say &quot;So Scooby-doo this crap&quot;? Which is the context of the sentences? I know that Scooby-doo is a cartoon 😅😅😅",True
"Why do I feel this spiderman is sort of annoying creature, stubborn sort of childish unmature unwise talkative? Or may be I just adore Doctor Strange too way much.",True
Insane to see what so many franchises became in 2 years...nobody is interested in MCU anymore.,True
WTF ITS BEEN 2 YEARS ALREADY WHAT I JUST REMEMBER SEEING THE MOVIE AND THING,True
Gotta admire how they made Strange say &quot;They all die fighting Spiderman.&quot; Only for it to be Sandman who says that,True
shout out to the editing guy from Sony Brazil who fucked up the CGI and shows Lizard getting kicked mid air by something invisible 😅😅😭,True
Obsessed I grew up with all spiderman,True
The fact that this is turning 3 years old this year is honestly crazy,True
SPOILER ALERT!!!⚠️.<br><br><br><br>Why did they kill Aunt May in this movie. And why didn&#39;t peter call MJ to push the button on the cube before it was too late 😢,True
"@ <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=72"">1:12</a> it makes me laugh so much how bad the cuts are 😭😭😭every time",True
This trailer came out on 11/16 back in 2021. The movie dropped in December and this was the only like legit footage we had for it. God dam the marketing for this was weird.,True
2018: Avengers infinity war <br>2019: Avengers endgame<br>2021: spider man no way home<br>These movies was time to be alive for superhero fans missing those days now 😭😭😭🥲🥲,True
i recommend a crazy movie for everyone to watch,True
"Watching the trailer after watching the movie made me feel pain since doctor strange said crap instead of shit, maybe because of youtube",True
"😂 Marvel Studios ? But surely No Hollywoodcamera !!! Nasty unsharp Backgrounds , 👎🎥, IS IT forcing eyesickness ??? This ain&#39;t No Quality ! I do ASK a question: the movies camerauser ,If He IS with His car ON His Gasstation , will He agree that only His half carwindow gets cleaned or will He Desire that the carwindows have to get completely cleaned because He wants to have a clear sight ? But for the moviewatshers He switsh the cameraeffect unsharp active ? Sabotage? Nasty service Bad Quality ! Movie destroyed !",True
It&#39;s weird that he says &quot;ever since I got bit by that spider&quot; which we never saw in the MCU.,True
TWO YEARS AGO IS INSANE,True
Crap,True
the hype for this movie was actually insane,True
"In hindsight, its CRAZY how much they spoil in this trailer...",True
Two years later and I still get fucking chills,True
Wow this was two years ago. Crazy how fast time is,True
Zendaya is so god damn annoying.,True
Mary Jane is wrong  and what is that stupid Chinese or hawiian boy is ..why act and look so stupid ...and not spiderman more like spiderboy,True
Lool black MJ is disgusting,True
This movie is something else! Insane.,True
people really watch this shit? this looks terrible,True
Man the no way home era was an elite time seriously never before have I ever seen so much hype for a movie. Also living in the UK we never cheer in our cinemas not even for endgame but for this we all went crazy,True
God i hated and loved this movie 😭,True
I just watched this movie and was completely unprepared of three spidermans and bad guys from the past. Didn&#39;t watched a trailer and nobody told me about. 😅just blew my mind. I couldn&#39;t believe it.. All three in one movie 😅amazing.. Just amazing. 🙏🏽👍🏼😊👏🏼well done.,True
This was the shit man I miss the hype,True
This was the most depressing spiderman movie ever.  I wish it had never been made.,True
"Is it me or did anyone see other spideys in this trailer???, 🤔🤔",True
"To think we all went insane in 2016, when the silver war trailer came out and we saw Spider-Man at the end. Who would’ve thought a couple years later we would see all three of them  together.",True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=94"">1:34</a> spider-man in a scandinavian forest looks so illegal to see",True
almost 2 years. this hits harder in 2023,True
Too bad Venom is just a cameo on this movie 😢,True
2021 Was an incredible Year for movies. Hype was insane back then.,True
"This is the worst episode ever. This is crap. I had big hopes about this part of Spiderman, but this is crap. Flat boring story, etc..",True
