Comment,Is_Neutral
3 years ago,True
Spdier man I need your help,True
yo who here on Dec 17 2024,True
3 years ago…,True
Its been 3 years since this masterpiece released🫡,True
3 Years Today!!!! OMG It was such an event !!,True
2024?,True
"still remember, i just cried in front of my dad to watch this movie in cinema!!",True
Farewell Sony Spiderman Universe,True
3 years ago 😢,True
It was 3 years ago,True
Sbhshe🎉,True
"I still remember when this trailer was released 3 years ago, people in the comment section were all making their theory to prove that Andrew Garfield and Tobey Maguire are also in the movie !😂Damn it&#39;s already 3 years",True
Spider-Man 4 Coming 2026,True
Almost been 3 years,True
"3 years ago I was in an online class and this droped,the next second itself I clicked this😂",True
Who else in 2024,True
I am gonna leave this comment for my kids,True
Who is here after the movie,True
😮😮😮😮,True
Anybody on 2024🕊️,True
Still gives me chills,True
"annnayun<br>yapacagınız filmi arif gayırnalı adlı sahıs kotu kelimelerle karsıladı 👏👏👏👏👏😃<a href=""UCkszU2WH9gy1mb0dV-11UJg/1v50XorRJ8GQ8gTz_prwAg""></a>",True
3 years ago already?😢,True
Imagine if it was Bully maguire version of Tobey&#39;s(black suit) that was dragged into the verse.<br><br> It would have been diabolical!,True
3 years no Spider-man movie 🥹,True
Take me back 😢😢,True
Hey…,True
Here in 2024,True
"After 3 years, the trailer still creates the same feeling in me",True
Who got this recommended?,True
I remember the hype in the tobey and andrew scene in the cinema,True
Anyone in 2024,True
"A I una cosa Jesús cristo los ama con amor Eterno y el viene pronto jeremías 31:3,Juan 3:16,revelaciones <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=1340"">22:20</a>🙌🏻🙏🏻❤️‍🔥🕊️",True
Anyone in 2024 ?,True
3 years have passed and it feels like it was yesterday...,True
Time flies man.,True
Hello Peter,True
Its been 3 years time flies wheres spider man 4,True
Remember when this trailer broke the internet?,True
Aún sigue siendo emocionante,True
3 years of no way home ❤,True
I imagine sonic 3 final trailer!!!!!,True
No way it&#39;s been 3 years already,True
3 years have gone by and yet this feels like yesterday! 😢❤,True
3 years,True
Feels like yesterday 😭,True
Someone needs to stop time <br>Man,True
MJ lowkey a baddie,True
Alguien?,True
3 Years,True
3 Years.....<br>I woke up at 3 AM just to watch this trailer 😭,True
WHO COOKED WITH THIS SOUNDTRACK,True
Venom 4:New Reborn movie is officially releasing soon in 2026.,True
After 50 minutes ❤,True
"Damn, got recommended after almost 3 yrs. I miss the hype",True
Whos here after homecuming,True
Yo me uno<br><br><br><br><br>Jejej god,True
"Christmas is coming next month, so I figured I’d buy this movie on Vudu as my Christmas present",True
When Will This Materpiece Add On Disney+,True
eu adorei o homem aranha reagiu,True
Good😂,True
"how man, i miss you…",True
It&#39;s almost 3 years ago..,True
"It would have been a masterpiece if they added bully maguire, venom or Rhino",True
Anyone in 2024???,True
Venom The Last Dance Is Out Now!,True
Marvel should have all rights to spider-man,True
Hype of Endgame ✅<br>Hype of No Way Home ✅ 🔥,True
2024🙋🙋🙋🙋,True
2024,True
"Did anyone else forget Tobey and Andrew were NOT in the trailer while watching this, and then thought where are they?😂😂",True
Gwen falling dont saved andrew<br>Zendaya falling saved andrew,True
Hello,True
Spiderman 🎉🎉🎉🎉🎉🎉,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=6"">0:06</a>",True
Biggest regret of not watching in theatres coz of COVID 😢,True
they hid the three spidermen well,True
God I miss this era 😊❤,True
"Can’t wait for, <br>Spiderman: Forgotten Home!",True
Heidenreich Wall,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=100"">1:40</a> but thats bullshite, they dont all die fighting Spiderman. Sandman walks off into the sunset, Dr Connors ends up in prison. All the rest die, but not all.",True
Anyone here after Tony is casted after Dr doom😅,True
"you just had to be there, from the trailer release to the movie itself... you just had to be there, 3 generation of spider man, didyouknowhowlongwevewaitedforthis?",True
Did this not come out in 2021,True
My god the acting so cringe  tf,True
It’s been 2 years 😢,True
the beast on the way to rome itay,True
Nobody is going to forget,True
Who is here after venom 3🔥,True
استغفر الله,True
"Holy yeah, I still cannot believe ts film is real😭",True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=8"">0:08</a>",True
2024,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=140"">2:20</a>",True
its been 2 years,True
Now Trailer 2<br>Sonic Movie 3 <br>November,True
"Making Miles Morales Spider-Man film in the Multiverse Saga Miles Morales&#39;s Spider-Man film in Tobey Maguire Spider-Man Universe in which Death of Tobey Spider-Man,Miles Morales Spider-Man Release After Avengers:Secret Wars &amp; Death of Tobey &amp; Andrew as mentor",True
What the heck the thumbnail for this was a Spider-Man with the venom symbiotie?????,True
Helga Mills,True
Why TVA not hear,True
Anyone here in September of 2024?,True
peak movie fr,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=150"">2:30</a> goss bumps her falling 😢",True
THEE SpiderMan movie,True
spider-man 4 o filme captain marvel,True
filme spider-man 3 no way home😀,True
I miss the era 🥺,True
The hype this movie had though,True
2024,True
Scooby Do (Escúchame),True
Lee Larry Martin Elizabeth White Cynthia,True
This was when the endgame hype came back,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=134"">2:14</a> - <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=140"">2:20</a>",True
I miss this movie hype,True
Future  generations  won&#39;t  understand  thr excitment this movie gave us,True
Deadpool &amp; Wolverine &gt;,True
