Comment,Sentiment
"Just watched it on Netflix, mediocre film, just fan service, childish and splattered with stupid sometimes cringe worthy jokes. Dumb plot too. And this Spider-Man sure does not look 17 even though he is short????. So glad I did not waste my money watching this forgettable stuff in cinema",negative
so what happens when this peter meets his universe&#39;s otto octavious?,neutral
I feel blessed that I went to watch this in cinemaÉù?ã?è,positive
This is the best trailer I have ever watched in my life,positive
Its a big story and sad endingÉ??,positive
2 years...,neutral
Overrated movie ,negative
"Damn, 2022 almost and effects still look like shit.",negative
"It sounds just like another one of those confused movies that don&#39;t know where they want to go or what they want to be. I got so bored watching this intro I went to the kitchen before it even finished, and that&#39;s not easy to happen... Marvel movies are like Dragonball. When they start out, they make sense, but then they try to gradually become more and more &quot;epic&quot; until they just make no sense and there&#39;s nothing in them we can even relate to any longer. It&#39;s just a pure mess of exaggeration with no defined direction or meaning.",negative
This is one of the fanticst movie ever,positive
I like how they edited out the part with Lizard getting punched by air,neutral
Bro the whole Andrew saves MJ is just spoiling the ending if it&#39;s real they fucked up,negative
"Everone saying they saw a glimce of electro and sandman<br><br><a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=136"">2:16</a> be like:",neutral
I just hate that they edited out Tobey and Andrew,negative
Watching this on netflix right now and i came to say this movie is utter nonsense it mentions brainwashing thats funny becuase its exactly what this movie was made to do.... Brainwash everyone its nonsense.,positive
Spidies got too crazy this time....... watched the first show...,negative
Not impressed,negative
This trailer makes all the other movies look like kindergarten work. I love the idea of Strange telling Pete these guys are destined to die fighting him and Pete just not having it. That is some serious emotion going on.,negative
